"filename", "language", "JavaScript", "YAML", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "vue", "JSON", "HTML", "Docker", "SVG", "Shell Script", "XML", "comment", "blank", "total"
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/CancelSubscription.vue", "vue", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 13, 122
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/CancelUpgradeDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 11, 59
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/ChangePassword.vue", "vue", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 18, 171
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/DangerZone.vue", "vue", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 13, 145
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/DeleteDeviceDialog.vue", "vue", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 8, 78
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/FloatingNotification.vue", "vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 10, 81
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/PaymentsTable.vue", "vue", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 9, 189
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/PlanLimitsList.vue", "vue", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 12, 102
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/PremiumPlaceholder.vue", "vue", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 3, 9, 125
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/ReferralCode.vue", "vue", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 22, 239
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/website/app/components/account/home/ReferralCodeSkeleton.vue", "vue", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 4, 7, 68
